Projekt Aerodynamik Übung Druckmessungen
P_amb in [Pa]:  100463 T_amb in [K]: 291
Channel 1-28 Druckdaten [Pa] 32 Pdyn [Pa]
130,389	39,150	-31,526	-44,949	-53,754	-63,413	-72,644	-72,829	-72,477	-68,236	-55,351	-47,316	-33,475	-25,535	-13,118	4,567	24,181	5,908	-19,854	-36,582	-59,852	-74,719	-62,827	-42,641	-27,452	-15,538	8,689	75,140	-11,129	-11,467	-8,393	137,833
129,387	36,838	-34,340	-46,310	-54,884	-65,218	-73,312	-74,084	-73,309	-67,746	-55,680	-46,514	-33,817	-26,193	-13,424	4,405	24,990	5,908	-19,055	-34,718	-58,846	-73,154	-60,829	-41,267	-25,315	-14,689	10,004	77,040	-8,009	-8,919	-8,887	139,010
128,551	34,363	-36,658	-48,526	-56,499	-67,519	-76,485	-76,415	-74,966	-70,189	-56,663	-47,316	-34,159	-26,193	-14,492	4,405	25,473	7,246	-18,894	-34,550	-57,163	-71,744	-59,162	-38,686	-24,003	-12,306	12,145	78,592	-8,502	-8,130	-8,722	140,019
126,050	30,894	-40,465	-51,252	-58,922	-70,481	-79,657	-80,541	-76,790	-72,470	-59,283	-48,602	-35,869	-27,347	-14,949	2,785	25,959	7,581	-19,055	-34,212	-56,492	-70,491	-58,162	-38,686	-22,031	-10,945	13,792	81,876	-8,338	-8,919	-8,393	141,028
124,047	27,100	-43,443	-54,661	-60,700	-73,933	-81,495	-81,081	-80,772	-74,262	-61,249	-50,847	-37,749	-28,830	-14,949	2,301	25,795	6,911	-18,575	-33,360	-55,818	-70,179	-56,328	-36,625	-20,222	-9,751	16,915	84,293	-9,324	-8,328	-8,061	139,177
122,377	23,799	-47,579	-58,067	-64,097	-78,040	-85,674	-85,384	-82,100	-76,544	-63,051	-51,649	-40,659	-31,299	-16,475	1,006	24,664	6,411	-19,213	-34,889	-57,330	-70,961	-57,663	-37,312	-20,387	-9,413	17,079	83,428	-10,146	-8,719	-8,887	139,010
121,710	21,653	-49,729	-59,602	-64,419	-79,848	-87,008	-86,818	-84,421	-78,010	-64,363	-53,898	-41,343	-31,299	-16,018	0,358	24,829	6,243	-19,693	-34,379	-56,995	-69,551	-55,657	-36,109	-18,250	-7,539	18,727	85,674	-10,146	-10,290	-10,701	134,805
120,040	18,187	-53,701	-63,008	-67,651	-82,810	-89,514	-89,329	-86,745	-80,778	-66,654	-55,503	-43,052	-32,781	-16,932	-0,128	23,372	3,732	-22,563	-36,582	-58,675	-70,646	-56,660	-36,450	-19,401	-7,881	17,737	86,019	-9,159	-8,719	-8,061	136,991
119,208	15,879	-55,522	-65,221	-69,912	-85,605	-91,687	-91,125	-88,902	-81,104	-68,295	-56,305	-44,423	-32,946	-17,389	-1,424	23,211	3,396	-22,563	-36,921	-59,517	-71,586	-56,827	-36,796	-18,414	-6,687	19,881	86,364	-7,022	-8,130	-9,383	135,646
118,537	13,568	-58,169	-66,414	-71,204	-86,426	-93,521	-93,455	-89,898	-83,711	-69,932	-58,231	-46,646	-34,429	-18,306	-2,393	21,919	3,061	-23,359	-37,430	-59,349	-71,428	-55,828	-35,592	-17,260	-6,349	20,209	88,438	-10,800	-11,467	-10,044	136,320
118,702	13,733	-59,326	-68,801	-72,819	-87,084	-94,024	-94,711	-91,887	-84,848	-71,080	-59,195	-47,158	-35,418	-17,694	-2,719	20,466	1,558	-23,836	-38,107	-60,526	-71,744	-56,995	-36,280	-17,757	-6,178	21,196	89,303	-8,009	-8,130	-7,568	137,665
117,866	12,243	-61,312	-70,166	-73,950	-89,218	-96,362	-96,326	-93,712	-86,640	-73,207	-60,638	-49,381	-37,226	-19,374	-4,984	21,436	1,726	-24,473	-38,107	-60,697	-72,684	-57,163	-35,763	-17,260	-6,178	21,853	90,339	-8,176	-8,719	-8,558	136,656
119,208	12,579	-60,983	-70,337	-74,111	-88,889	-96,862	-96,506	-94,708	-88,106	-73,371	-62,564	-50,752	-39,038	-20,288	-4,823	19,979	1,055	-25,272	-37,936	-61,706	-73,466	-57,827	-36,796	-16,932	-5,668	21,196	90,684	-9,324	-8,919	-8,722	134,134
119,040	12,579	-61,312	-70,166	-74,758	-89,711	-96,862	-97,046	-95,537	-88,271	-75,337	-64,172	-51,949	-40,685	-21,508	-5,957	19,818	-0,450	-27,344	-40,307	-62,548	-74,561	-59,829	-38,515	-19,401	-6,687	20,867	89,303	-8,176	-7,933	-7,897	133,628
119,540	14,229	-58,997	-69,143	-73,950	-87,248	-94,859	-95,247	-94,540	-88,432	-75,008	-63,528	-51,607	-41,675	-21,662	-6,605	19,979	-1,453	-27,505	-40,987	-64,060	-75,972	-60,996	-40,064	-20,058	-8,561	18,562	88,268	-8,338	-8,522	-8,887	129,423
120,375	17,198	-56,680	-67,269	-72,658	-85,111	-93,022	-92,916	-93,048	-86,969	-73,371	-62,726	-51,436	-41,181	-21,357	-6,444	18,204	-2,121	-29,573	-42,848	-66,079	-78,631	-63,163	-41,609	-22,688	-9,922	16,093	86,364	-8,666	-9,311	-8,887	130,093
122,377	20,334	-54,033	-65,050	-70,557	-82,646	-91,184	-91,125	-91,391	-86,154	-72,552	-62,246	-50,236	-40,356	-20,439	-6,605	17,717	-2,456	-30,372	-43,187	-66,414	-79,414	-64,830	-42,986	-23,675	-12,306	15,436	84,638	-8,995	-8,919	-9,383	131,274
123,544	23,303	-50,722	-62,495	-69,265	-79,848	-88,011	-87,896	-89,898	-84,362	-70,751	-60,638	-49,210	-40,192	-20,594	-5,957	17,878	-2,624	-29,573	-44,035	-67,424	-80,196	-65,832	-45,051	-25,973	-12,815	12,967	82,738	-8,995	-8,719	-9,383	130,603
126,050	25,450	-46,918	-59,431	-66,197	-77,053	-85,841	-86,637	-86,910	-82,406	-69,114	-59,034	-47,842	-38,380	-21,357	-5,957	17,878	-1,953	-30,533	-43,697	-68,098	-81,761	-67,499	-46,429	-27,781	-14,689	10,498	81,186	-6,697	-6,756	-7,404	130,771
126,549	28,915	-43,775	-56,706	-64,419	-74,262	-83,504	-84,845	-84,921	-80,939	-67,637	-58,715	-46,133	-37,720	-21,357	-5,149	18,365	-2,121	-30,053	-43,187	-66,917	-81,761	-67,664	-46,600	-28,274	-15,709	9,840	79,973	-8,995	-8,719	-8,229	131,274
127,720	31,555	-40,465	-54,316	-61,670	-71,468	-80,828	-81,797	-83,260	-78,335	-65,510	-56,144	-45,278	-36,733	-21,965	-4,823	18,365	-1,453	-30,533	-44,374	-68,265	-82,856	-68,831	-48,835	-29,592	-16,905	6,878	77,901	-8,009	-7,933	-7,404	130,261
128,387	34,859	-37,650	-50,910	-60,214	-68,834	-78,322	-79,825	-80,275	-76,544	-63,709	-55,341	-43,052	-35,747	-21,965	-4,014	17,878	-1,285	-30,053	-43,526	-67,759	-83,168	-70,498	-50,213	-31,565	-19,627	6,549	74,795	-9,159	-8,130	-7,568	129,255
127,552	36,178	-35,168	-48,526	-57,791	-66,697	-76,149	-76,774	-78,451	-75,728	-63,051	-53,415	-42,368	-34,264	-21,814	-3,205	18,852	-1,285	-30,053	-43,526	-68,772	-83,638	-70,997	-50,729	-33,044	-20,308	3,751	73,065	-8,502	-7,739	-7,404	127,907
128,387	39,314	-32,518	-46,310	-55,851	-64,399	-73,979	-74,801	-76,294	-72,306	-60,760	-52,774	-40,659	-32,614	-21,965	-2,558	19,174	-0,950	-29,415	-44,712	-69,613	-84,894	-73,332	-53,306	-34,688	-23,543	0,789	69,958	-7,516	-7,345	-7,236	126,730
129,054	40,800	-30,533	-44,098	-52,945	-61,111	-70,639	-71,211	-73,309	-70,678	-57,811	-49,243	-38,091	-30,806	-19,677	-1,098	19,657	-0,618	-28,777	-44,374	-68,939	-84,424	-73,164	-53,135	-36,003	-24,733	-0,197	67,887	-6,861	-6,756	-8,722	126,562
129,387	42,615	-28,050	-41,711	-52,136	-59,961	-69,469	-70,853	-71,819	-68,071	-56,334	-48,602	-36,210	-28,501	-18,612	0,358	20,144	0,220	-28,300	-43,358	-67,759	-83,954	-72,832	-52,964	-36,661	-24,904	-1,184	67,019	-8,831	-9,113	-9,551	129,758
130,721	43,440	-26,232	-40,685	-50,035	-58,152	-68,301	-68,880	-69,827	-66,769	-54,043	-45,712	-33,817	-26,850	-16,626	1,489	21,758	1,223	-25,910	-42,003	-66,750	-82,386	-70,665	-52,277	-35,510	-23,201	-0,690	67,713	-9,324	-9,113	-8,229	130,603
130,054	44,430	-26,068	-40,175	-49,713	-58,317	-67,966	-68,163	-69,991	-65,303	-53,550	-45,712	-33,304	-25,207	-15,557	1,976	21,919	2,896	-25,115	-40,987	-65,237	-81,449	-69,830	-51,245	-34,524	-24,224	-0,362	66,848	-8,666	-10,096	-9,215	132,451
130,222	44,101	-27,061	-39,666	-50,035	-58,481	-68,469	-68,880	-69,331	-65,464	-52,567	-45,067	-32,275	-24,053	-15,255	2,624	22,728	3,396	-22,402	-39,801	-62,548	-79,726	-68,163	-48,835	-33,373	-21,840	1,775	69,268	-8,176	-8,328	-9,383	134,302
128,551	41,954	-27,722	-40,856	-50,196	-59,632	-68,634	-69,597	-70,159	-65,629	-53,714	-45,390	-32,791	-24,546	-14,032	3,432	23,211	5,241	-21,603	-38,275	-62,042	-77,691	-66,500	-47,116	-31,729	-20,989	3,587	70,649	-7,680	-7,345	-8,393	134,302
127,552	39,975	-29,211	-41,711	-51,166	-61,604	-69,804	-70,314	-70,323	-66,769	-54,861	-45,712	-33,133	-24,053	-14,186	3,919	24,829	5,740	-20,489	-37,430	-61,371	-76,909	-65,333	-46,429	-29,592	-19,118	4,083	70,649	-9,485	-10,290	-8,393	133,292
127,384	38,653	-30,865	-42,904	-51,975	-62,262	-70,639	-71,395	-70,823	-65,954	-53,878	-45,229	-33,988	-24,713	-14,643	3,432	24,181	6,411	-20,331	-37,430	-59,684	-76,284	-64,327	-45,567	-29,428	-17,924	5,892	72,375	-8,995	-9,508	-8,722	132,786
126,217	36,345	-33,015	-44,778	-52,458	-63,084	-71,809	-72,648	-71,320	-66,931	-54,697	-45,551	-33,646	-24,878	-13,729	4,728	24,181	5,070	-20,173	-36,921	-59,349	-74,561	-62,663	-43,157	-27,781	-16,905	7,371	73,927	-9,324	-8,522	-8,229	133,460
125,214	34,034	-35,333	-46,652	-53,915	-65,546	-73,312	-74,443	-71,652	-67,585	-55,026	-45,551	-33,133	-26,193	-13,269	3,432	24,342	5,408	-19,371	-36,243	-60,023	-74,407	-61,660	-42,986	-26,795	-15,199	8,525	74,969	-7,516	-7,739	-9,051	134,134
124,047	30,894	-38,147	-49,378	-55,207	-67,355	-75,649	-75,337	-72,977	-68,561	-55,844	-45,712	-34,330	-26,193	-12,046	3,919	24,664	7,078	-19,854	-35,566	-57,498	-72,056	-59,829	-40,580	-24,658	-14,176	11,648	77,556	-9,981	-10,290	-7,897	137,494
122,545	26,604	-41,622	-51,932	-58,438	-71,796	-79,489	-79,105	-76,126	-69,702	-57,646	-47,796	-36,040	-27,679	-11,895	3,597	24,990	5,408	-19,213	-34,718	-56,660	-70,491	-57,495	-37,828	-21,866	-10,432	14,285	80,666	-9,324	-10,096	-9,551	139,513
121,542	23,471	-44,933	-55,683	-60,700	-74,098	-81,160	-81,081	-78,118	-71,980	-58,958	-48,921	-36,040	-28,665	-12,046	2,949	25,151	6,746	-19,055	-33,534	-55,315	-68,768	-55,157	-35,592	-19,401	-9,071	16,586	83,083	-8,502	-8,719	-8,229	138,000
119,372	19,013	-49,729	-59,602	-64,580	-78,368	-85,674	-85,920	-82,100	-76,054	-62,561	-50,367	-39,291	-30,970	-13,881	0,845	24,020	6,076	-19,371	-34,212	-55,650	-68,768	-54,490	-34,557	-18,086	-7,881	18,562	86,019	-8,176	-7,933	-8,229	139,513
115,864	15,054	-54,197	-62,837	-67,489	-82,810	-88,678	-88,435	-84,589	-78,171	-65,017	-53,737	-42,539	-31,956	-15,100	0,197	24,020	5,740	-19,854	-34,041	-55,818	-68,768	-53,990	-34,212	-16,767	-5,836	21,196	87,748	-7,680	-8,522	-8,393	134,637
115,197	12,414	-57,012	-65,905	-69,426	-85,276	-92,019	-91,302	-87,742	-80,778	-67,802	-55,825	-43,223	-32,449	-16,320	-0,937	22,406	4,067	-21,288	-36,243	-57,163	-69,863	-54,326	-34,212	-16,438	-5,326	22,182	88,438	-8,666	-8,522	-7,568	133,292
112,863	8,946	-60,155	-68,121	-72,174	-87,413	-94,024	-93,991	-89,731	-83,221	-69,278	-56,627	-45,962	-33,935	-17,083	-2,071	21,758	3,061	-23,678	-36,076	-58,004	-69,709	-54,490	-33,524	-16,110	-4,984	22,675	89,819	-7,351	-7,151	-6,907	132,283
112,527	6,963	-63,630	-71,188	-74,597	-88,889	-95,191	-95,247	-92,551	-84,523	-71,080	-59,034	-48,184	-34,593	-18,306	-2,880	21,919	1,890	-23,517	-37,769	-59,349	-70,803	-54,658	-35,247	-17,096	-4,645	22,839	90,510	-8,176	-8,522	-9,879	130,603
113,862	7,624	-63,298	-71,527	-73,628	-88,560	-95,694	-96,145	-92,219	-85,338	-70,915	-60,158	-48,184	-35,086	-19,220	-3,528	20,788	1,558	-25,272	-38,275	-60,023	-71,428	-55,657	-34,899	-16,932	-4,475	23,500	90,165	-7,680	-8,719	-8,887	131,612
113,362	5,645	-64,458	-73,059	-75,728	-91,190	-97,697	-97,046	-94,208	-86,805	-73,046	-61,282	-50,923	-36,404	-19,831	-5,796	19,335	0,552	-25,272	-38,107	-60,191	-70,491	-54,490	-34,041	-16,274	-4,136	24,322	91,545	-7,187	-7,933	-8,558	135,646
114,197	6,470	-64,623	-73,230	-75,893	-90,368	-97,365	-96,326	-95,205	-87,130	-74,190	-62,403	-51,436	-37,555	-19,982	-4,984	19,496	0,053	-25,749	-38,614	-60,358	-71,586	-54,990	-34,728	-15,452	-3,455	24,980	92,410	-6,697	-5,582	-7,568	133,795
117,035	8,449	-63,133	-71,527	-75,893	-89,053	-96,026	-96,145	-95,372	-87,130	-74,029	-62,887	-51,607	-38,048	-20,900	-5,796	18,526	-1,118	-26,387	-39,462	-61,874	-72,526	-56,660	-35,418	-16,110	-3,284	23,829	91,891	-8,338	-7,933	-6,907	135,646
119,040	11,254	-60,155	-69,653	-74,275	-87,413	-94,024	-94,531	-93,380	-86,969	-74,029	-63,528	-51,949	-39,699	-20,594	-6,769	18,204	-1,953	-25,910	-39,801	-62,042	-73,154	-57,663	-35,763	-16,932	-4,136	24,158	92,926	-8,666	-8,522	-8,229	135,479
119,208	14,393	-57,840	-67,269	-72,980	-84,618	-92,686	-92,200	-92,219	-87,130	-73,700	-63,689	-52,974	-41,017	-21,508	-7,256	18,043	-2,959	-27,183	-40,817	-63,893	-75,189	-59,661	-37,999	-18,579	-7,029	21,031	90,684	-7,187	-6,171	-6,575	135,479
121,710	19,180	-53,040	-64,711	-70,074	-80,505	-89,014	-90,227	-90,063	-84,687	-71,080	-61,443	-51,265	-41,017	-21,508	-6,930	17,878	-3,127	-27,981	-40,987	-64,228	-76,284	-61,328	-40,580	-20,222	-7,710	18,891	88,268	-7,516	-8,719	-9,051	132,786
