14:48:29	Temperatur:	20,24	Luftdruck: 	102232,09	Dynamischer Druck: 65,31
HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15	HD16	HD17	HD18	HD19	HD20	HD21	HD22	HD23	HD24	
6.052685E-3	-1.040289E-3	4.071282E-1	4.435603E-1	-6.198815E-3	1.927929E+0	1.398534E+0	5.247942E-2	-1.154951E-1	-1.727533E+0	3.884286E-1	5.717505E-4	8.309540E-3	1.956286E-1	4.990016E-2	4.022792E-2	-7.488447E-3	-1.780550E-2	-1.264697E-2	-9.066968E-2	-1.716068E-2	-3.619552E-3	1.379047E-2	1.540251E-2
4.474163E-2	1.538974E-3	4.174453E-1	5.976714E-1	9.439246E-2	-2.241128E+0	1.036469E+0	2.759081E-1	-1.158175E-1	1.780911E+0	-2.825023E-1	2.493426E-4	5.730277E-3	1.659670E-1	6.505333E-2	2.346271E-2	-8.778079E-3	-1.877272E-2	-1.329179E-2	-2.135199E-2	-2.070717E-2	-1.100142E-1	-8.518875E-2	-7.306528E-5
1.050319E-1	-3.954732E-4	5.086868E-1	6.031524E-1	6.092781E-1	1.904393E+0	6.608634E-1	3.590894E-1	-8.003022E-2	-1.483471E+0	-3.743886E-1	-3.954732E-4	5.730277E-3	1.453329E-1	1.433985E-1	-3.843960E-2	-9.422894E-3	-1.909513E-2	-1.458142E-2	3.087809E-2	-2.102958E-2	-1.390309E-1	-1.258121E-1	-3.521553E-2
1.043871E-1	-3.954732E-4	2.572085E-1	3.100834E-1	7.978869E-1	-2.177291E+0	5.921905E-1	4.209918E-1	-6.165297E-2	1.488486E+0	-1.744957E-1	8.941584E-4	5.407869E-3	7.666002E-2	1.830546E-1	-3.843960E-2	-1.039012E-2	-1.877272E-2	-1.425901E-2	-3.297144E-3	-2.264162E-2	-6.842354E-2	-9.744025E-2	-3.328108E-2
1.050319E-1	-2.007513E-3	5.802614E-1	2.085249E-1	9.781132E-1	1.883114E+0	8.291605E-1	4.812821E-1	-3.328108E-2	-1.152358E+0	4.409682E-2	-1.685105E-3	5.085461E-3	1.894900E-2	2.417329E-1	-3.714997E-2	-1.103493E-2	-1.877272E-2	-1.393660E-2	-2.041572E-1	-2.360884E-2	-4.682221E-2	-6.616668E-2	-3.392589E-2
5.118979E-2	-3.941960E-3	5.854199E-1	-8.099744E-2	1.104175E+0	-2.105072E+0	1.056458E+0	6.134694E-1	-2.007513E-3	1.150279E+0	-1.396757E-1	2.828606E-3	5.407869E-3	4.441923E-2	2.430225E-1	6.150685E-2	-8.778079E-3	-1.973995E-2	-1.296938E-2	-2.854040E-1	-2.360884E-2	-5.552722E-2	-6.971317E-2	-3.521553E-2
-7.680614E-2	-6.198815E-3	7.114815E-1	2.994439E-1	1.135448E+0	1.856032E+0	1.437868E+0	7.259899E-1	3.571421E-2	-7.986771E-1	2.368968E-1	-1.685105E-3	6.375093E-3	1.088880E-2	1.885356E-1	1.414640E-1	-9.100486E-3	-1.877272E-2	-1.329179E-2	-3.466615E-1	-2.199680E-2	-4.811184E-2	-5.649445E-2	-5.198074E-2
-5.359278E-2	4.763053E-3	3.893829E-2	-1.864248E-1	9.668289E-1	-2.013831E+0	1.162853E+0	8.120729E-1	7.311353E-2	5.567256E-1	7.459792E-1	3.473422E-3	6.052685E-3	-5.294796E-2	1.050319E-1	3.113730E-1	-8.133263E-3	-1.941754E-2	-1.264697E-2	-3.901865E-1	-1.845032E-2	-8.744560E-2	-9.034727E-2	-6.745631E-2
-8.260948E-2	9.276764E-3	-2.544529E-1	-1.390309E-1	7.411431E-1	1.820567E+0	7.746735E-1	7.691926E-1	9.761654E-2	-3.324755E-1	6.154039E-1	-2.329921E-3	6.052685E-3	-3.102422E-2	7.019909E-3	4.274399E-1	-7.166039E-3	-1.845032E-2	-1.296938E-2	-3.560113E-1	-1.683828E-2	-1.590201E-1	-1.425773E-1	-1.035660E-1
-9.228172E-2	7.987132E-3	-2.786334E-1	-4.553258E-2	1.102885E+0	-1.924846E+0	7.005196E-1	8.159418E-1	1.395296E-1	4.441923E-2	8.504395E-1	2.828606E-3	7.019909E-3	1.211523E-1	2.493426E-4	4.287296E-1	-7.166039E-3	-1.909513E-2	-1.296938E-2	-3.479511E-1	-1.683828E-2	-2.057693E-1	-1.970643E-1	-1.329051E-1
-8.551115E-2	1.056640E-2	1.292125E-1	-4.037405E-2	7.114815E-1	1.762211E+0	1.379189E+0	8.614014E-1	1.720928E-1	1.414640E-1	6.976180E-1	-3.297144E-3	8.309540E-3	1.450105E-1	1.556500E-1	4.338881E-1	-7.810855E-3	-1.748309E-2	-1.264697E-2	-3.608474E-1	-1.683828E-2	-2.131847E-1	-2.112502E-1	-1.574081E-1
4.440645E-3	1.217844E-2	1.021302E-1	-2.505840E-1	1.914373E-1	-1.846501E+0	1.188968E+0	9.313640E-1	1.940165E-1	-4.956139E-1	8.954356E-3	1.861382E-3	7.019909E-3	1.192179E-1	7.214631E-2	4.474292E-1	-7.488447E-3	-1.909513E-2	-1.232457E-2	-3.605250E-1	-1.845032E-2	-2.367204E-1	-2.415565E-1	-1.699820E-1
5.602591E-2	5.730277E-3	5.699314E-2	9.149078E-2	-7.488447E-3	1.709013E+0	1.147055E+0	9.252382E-1	2.172299E-1	5.383483E-1	6.827741E-2	-4.264368E-3	6.052685E-3	1.782185E-1	7.182390E-2	3.055697E-1	-8.133263E-3	-1.845032E-2	-1.329179E-2	-3.144207E-1	-1.973995E-2	-2.492943E-1	-2.509064E-1	-1.877144E-1
8.954356E-3	5.407869E-3	-3.624595E-1	-1.167847E-1	4.828812E-2	-1.772670E+0	1.048398E+0	9.848838E-1	2.227108E-1	-8.141526E-1	-3.779479E-2	5.717505E-4	5.730277E-3	1.598413E-1	1.495242E-1	1.579068E-1	-8.778079E-3	-1.877272E-2	-1.329179E-2	-3.028140E-1	-2.167439E-2	-2.805679E-1	-2.854040E-1	-2.044796E-1
5.699314E-2	4.118237E-3	-3.034588E-1	-7.874059E-2	-2.941218E-2	1.637439E+0	8.975111E-1	9.374897E-1	2.520500E-1	8.481826E-1	3.536085E-1	-4.264368E-3	8.309540E-3	7.987132E-3	4.029369E-1	4.051938E-1	-1.039012E-2	-1.941754E-2	-1.393660E-2	-3.927658E-1	-2.393125E-2	-2.654147E-1	-2.747645E-1	-2.154415E-1
1.053543E-1	-1.362697E-3	-2.792783E-1	-2.360884E-2	-1.322603E-1	-1.694325E+0	8.294830E-1	9.532877E-1	2.804219E-1	-1.024362E+0	3.884286E-1	-7.178811E-4	1.538974E-3	-3.682757E-2	2.884821E-1	4.909543E-1	-9.745302E-3	-2.038476E-2	-1.361420E-2	-4.043725E-1	-2.425366E-2	-2.715405E-1	-2.837920E-1	-2.299499E-1
