14:51:32	Temperatur:	20,28	Luftdruck: 	102236,53	Dynamischer Druck: 140,79
HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15	HD16	HD17	HD18	HD19	HD20	HD21	HD22	HD23	HD24	
1.047095E-1	-2.329921E-3	1.464628E+0	8.456034E-1	2.830011E-1	-4.894881E-1	1.295363E+0	1.395632E+0	4.745115E-1	-1.592444E+0	1.190903E+0	-1.685105E-3	3.795830E-3	-1.396757E-1	4.068058E-1	5.986387E-1	-1.167975E-2	-2.006235E-2	-1.264697E-2	1.192192E+0	-1.877272E-2	5.354467E-1	6.002507E-1	6.431310E-1
6.505333E-2	-2.329921E-3	1.023250E+0	4.367898E-1	-3.453719E-1	1.200253E+0	7.759632E-1	1.225723E+0	4.322761E-1	1.698359E-1	6.141142E-1	-2.974736E-3	7.019909E-3	-1.016315E-1	1.530707E-1	6.586066E-1	-1.200216E-2	-1.845032E-2	-1.329179E-2	1.505251E+0	-1.716068E-2	4.274399E-1	4.758012E-1	5.796166E-1
-5.327037E-2	1.861382E-3	2.538250E+0	2.304486E-1	-1.280690E-1	-2.368156E+0	1.469464E+0	1.286980E+0	4.838614E-1	1.160274E+0	5.692995E-1	3.473422E-3	6.697501E-3	-6.519946E-2	9.342523E-2	7.862802E-1	-1.071253E-2	-1.877272E-2	-1.232457E-2	1.676450E+0	-1.877272E-2	2.236781E-1	2.894493E-1	4.841838E-1
-9.647302E-2	6.052685E-3	2.477637E+0	-5.327037E-2	5.270640E-1	1.084186E+0	1.782200E+0	1.397567E+0	5.157798E-1	-2.199215E+0	4.390466E-1	-3.954732E-4	6.375093E-3	8.310818E-2	-2.708957E-1	7.011645E-1	-1.135734E-2	-1.845032E-2	-1.200216E-2	1.428195E+0	-1.845032E-2	8.246336E-2	1.411416E-1	3.648928E-1
-7.680614E-2	5.717505E-4	7.234106E-1	1.691603E+0	2.181971E-1	-1.564409E-1	2.565654E+0	1.638728E+0	5.193262E-1	2.047220E+0	4.774132E-1	-2.329921E-3	8.954356E-3	1.350159E-1	-1.258121E-1	2.501155E-1	-1.006771E-2	-1.780550E-2	-1.264697E-2	1.994990E+0	-1.812791E-2	-1.025988E-1	-3.521553E-2	2.172299E-1
-7.809577E-2	4.440645E-3	1.220242E+0	4.006801E-1	-2.286602E-1	-1.364502E+0	4.151884E-1	1.400146E+0	4.587135E-1	-1.193949E+0	4.384018E-1	5.717505E-4	6.052685E-3	3.023328E-2	-8.551115E-2	-2.241465E-1	-1.006771E-2	-1.845032E-2	-1.232457E-2	1.923738E+0	-2.102958E-2	-3.811720E-2	-4.714462E-2	1.337262E-1
1.037423E-1	8.941584E-4	1.475898E-1	7.679030E-1	1.112880E+0	1.967585E+0	2.185067E-2	1.239909E+0	4.171229E-1	-1.193640E-1	1.273117E+0	-3.941960E-3	7.664724E-3	-2.973459E-2	8.955634E-2	-1.174295E-1	-1.103493E-2	-1.780550E-2	-1.393660E-2	1.107399E+0	-2.135199E-2	3.442458E-2	4.440645E-3	8.439781E-2
1.040647E-1	-1.040289E-3	-9.908320E-1	3.394225E-1	1.030988E+0	-1.605663E+0	-8.133263E-3	1.020026E+0	4.042266E-1	1.365971E+0	1.300522E+0	1.538974E-3	6.697501E-3	1.714480E-1	-1.074349E-1	1.234092E-1	-1.039012E-2	-1.941754E-2	-1.361420E-2	6.057316E-1	-2.296403E-2	-9.582821E-2	-7.841818E-2	3.249013E-2
1.050319E-1	2.183790E-3	-1.178796E+0	2.352847E-1	9.800476E-1	1.682239E-1	-1.474135E-1	7.720943E-1	3.587670E-1	-2.469070E+0	3.855269E-1	-1.040289E-3	7.342317E-3	7.208314E-1	-3.263626E-2	6.052685E-3	-1.264697E-2	-1.845032E-2	-1.232457E-2	2.315787E+0	-2.393125E-2	-9.453857E-2	-9.615061E-2	1.153362E-2
-7.648373E-2	2.183790E-3	-4.843425E-2	2.401209E-1	2.285142E-1	6.260434E-1	-7.380644E-1	5.219055E-1	3.207229E-1	1.943405E+0	5.183461E-2	-2.329921E-3	9.599172E-3	8.849372E-1	-1.335499E-1	3.152291E-2	-1.039012E-2	-1.716068E-2	-1.200216E-2	1.984995E+0	-2.393125E-2	-3.650516E-2	-6.133056E-2	-1.103493E-2
-9.389376E-2	1.508011E-2	-2.963659E-1	-9.099209E-2	6.215166E-2	-2.091208E+0	-1.425901E-2	4.500085E-1	2.923510E-1	-9.121645E-1	-5.936258E-1	1.538974E-3	7.342317E-3	6.402293E-1	6.859982E-2	-3.037941E-2	-1.006771E-2	-1.877272E-2	-1.200216E-2	2.282901E+0	-2.296403E-2	-2.135199E-2	-4.521017E-2	-6.198815E-3
-8.196467E-2	1.121121E-2	1.207668E+0	-4.053397E-1	-2.386549E-1	1.809927E+0	6.150815E-1	4.322761E-1	2.546292E-1	-4.375805E-1	-2.712181E-1	-1.040289E-3	9.276764E-3	6.618307E-1	2.572085E-1	-2.934642E-1	-9.745302E-3	-1.845032E-2	-1.232457E-2	1.523306E+0	-2.296403E-2	-5.649445E-2	-5.875130E-2	-2.683292E-2
-4.069646E-2	-5.876407E-3	1.990799E+0	1.337262E-1	-2.586570E-2	-7.551520E-1	-3.018468E-1	4.087403E-1	2.301262E-1	2.043029E+0	-1.035660E-1	8.941584E-4	7.987132E-3	3.942319E-1	2.442994E-2	-6.487705E-2	-8.455671E-3	-1.812791E-2	-1.232457E-2	9.910095E-1	-2.135199E-2	-3.892193E-1	-2.970107E-1	-1.416101E-1
1.508011E-2	1.185603E-2	3.577998E-1	-2.167439E-2	-6.229649E-1	-7.167855E-1	8.720408E-1	3.519964E-1	2.349623E-1	-2.612541E+0	6.695685E-1	-7.178811E-4	7.987132E-3	-1.019540E-1	4.319537E-1	3.713409E-1	-8.455671E-3	-1.909513E-2	-1.135734E-2	1.061939E+0	-1.941754E-2	-8.260948E-2	-1.538616E-1	-1.287138E-1
-7.712855E-2	1.540251E-2	-1.249725E+0	-1.732061E-1	-3.024916E-1	1.405949E+0	4.393690E-1	4.109971E-1	2.162627E-1	1.227980E+0	-2.876609E-1	-3.297144E-3	1.443529E-2	-1.390309E-1	6.079885E-1	1.014854E-1	-6.843631E-3	-1.877272E-2	-1.232457E-2	3.474827E-1	-1.716068E-2	4.574239E-1	2.672031E-1	1.669215E-2
-8.841283E-2	1.411288E-2	-2.078635E+0	4.026145E-1	1.056767E-1	-2.256603E+0	1.396922E+0	6.105678E-1	2.078801E-1	-2.180208E-1	-1.300034E-1	3.151014E-3	9.599172E-3	-5.346252E-1	5.399604E-1	-3.424830E-2	-6.843631E-3	-1.909513E-2	-1.232457E-2	-1.522496E-1	-1.748309E-2	9.755339E-1	7.479137E-1	2.981543E-1
-9.776265E-2	2.088345E-2	-1.402224E+0	-3.985691E-1	7.153504E-1	8.278709E-1	7.337277E-1	6.686012E-1	2.056232E-1	-1.036291E+0	-5.362372E-1	-7.306528E-5	8.954356E-3	-3.743886E-1	3.694065E-1	-3.876201E-2	-6.843631E-3	-1.780550E-2	-1.232457E-2	-3.792247E-1	-1.683828E-2	4.325985E-1	5.190038E-1	3.681169E-1
-1.122710E-1	1.604733E-2	-1.523771E+0	-5.465543E-1	5.986387E-1	7.666002E-2	2.165851E-1	6.286226E-1	2.130386E-1	2.535993E+0	8.746201E-1	-1.685105E-3	1.056640E-2	-4.852968E-1	6.892223E-2	2.813891E-1	-5.876407E-3	-1.845032E-2	-1.296938E-2	-6.358742E-2	-1.619346E-2	6.025076E-1	5.722012E-1	4.416259E-1
-1.090469E-1	2.023863E-2	-1.328070E+0	-5.439750E-1	-6.413421E-1	-1.560204E+0	-3.669732E-1	3.710185E-1	2.069128E-1	-2.468747E+0	4.780580E-1	-7.178811E-4	1.056640E-2	-5.149583E-1	-3.489312E-2	3.597342E-1	-6.521223E-3	-1.780550E-2	-1.167975E-2	2.871924E-1	-1.683828E-2	6.708581E-1	6.299122E-1	5.283537E-1
-6.777872E-2	1.379047E-2	-1.531832E+0	-1.061762E+0	-5.991067E-1	2.052701E+0	-7.712724E-1	2.030439E-1	2.014319E-1	1.021961E+0	4.758012E-1	-4.264368E-3	1.314566E-2	-4.698212E-1	-1.103366E-1	1.356607E-1	-7.810855E-3	-1.812791E-2	-1.361420E-2	3.893958E-1	-1.812791E-2	4.242159E-1	4.822493E-1	5.119109E-1
3.151014E-3	1.572492E-2	-1.523127E+0	-4.021156E-1	-5.523576E-1	-1.353863E+0	-2.007382E+0	-1.258121E-1	1.340486E-1	5.344665E-2	1.656446E-1	3.473422E-3	9.276764E-3	-4.685316E-1	-1.822335E-1	-3.211913E-1	-6.843631E-3	-1.780550E-2	-1.264697E-2	1.617757E-1	-1.909513E-2	2.091697E-1	2.800995E-1	4.261503E-1
