14:44:45	Temperatur:	20,31	Luftdruck: 	102231,05	Dynamischer Druck: 1,25
HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15	HD16	HD17	HD18	HD19	HD20	HD21	HD22	HD23	HD24	
1.604733E-2	2.493426E-4	-2.007513E-3	1.862659E-2	-8.133263E-3	-1.880032E+0	4.440645E-3	5.957240E-2	2.828606E-3	8.259365E-1	2.668679E-2	2.506198E-3	6.375093E-3	2.506198E-3	-4.909184E-3	2.493426E-4	-8.778079E-3	-1.845032E-2	-1.200216E-2	-1.941754E-2	-2.360884E-2	-3.102422E-2	-4.521017E-2	9.599172E-3
-7.648373E-2	5.085461E-3	-9.100486E-3	1.824098E-1	2.797642E-2	1.362102E+0	1.056640E-2	2.249549E-2	1.088880E-2	1.254095E+0	-2.844496E-2	-4.264368E-3	5.085461E-3	-7.810855E-3	4.763053E-3	7.342317E-3	-7.488447E-3	-1.780550E-2	-1.200216E-2	-3.037941E-2	-2.102958E-2	-2.393125E-2	-3.457071E-2	-2.231921E-2
6.052685E-3	4.118237E-3	5.344665E-2	8.858911E-2	-4.586776E-3	-1.113024E+0	3.151014E-3	7.053427E-2	-2.006235E-2	-2.204373E+0	-6.810113E-2	-1.040289E-3	6.375093E-3	-1.167975E-2	-5.876407E-3	-1.425901E-2	-6.843631E-3	-1.877272E-2	-1.264697E-2	-2.908978E-2	-1.683828E-2	-6.198815E-3	-2.586570E-2	-4.101887E-2
1.121121E-2	3.151014E-3	-2.489847E-2	-4.488776E-2	-2.007513E-3	5.480206E-1	-5.554000E-3	1.379047E-2	1.991622E-2	6.763260E-2	-1.809439E-1	2.506198E-3	6.375093E-3	-7.178811E-4	1.216566E-3	8.941584E-4	-7.488447E-3	-1.780550E-2	-1.135734E-2	-3.328108E-2	-1.845032E-2	-3.941960E-3	-1.264697E-2	-2.070717E-2
1.379047E-2	-7.306528E-5	2.506198E-3	-1.187192E-1	-2.264162E-2	-4.175912E-1	-4.198609E-2	6.892223E-2	-1.973995E-2	1.910197E+0	6.892223E-2	-3.297144E-3	7.019909E-3	7.019909E-3	7.342317E-3	-2.102958E-2	-7.488447E-3	-1.845032E-2	-1.361420E-2	-1.909513E-2	-2.070717E-2	-1.458142E-2	-2.393125E-2	4.440645E-3
8.631948E-3	7.987132E-3	-2.651051E-2	-2.102958E-2	2.797642E-2	-2.525184E-1	-3.231385E-2	6.052685E-3	-1.135734E-2	-1.533766E+0	2.681704E-1	2.493426E-4	5.730277E-3	1.540251E-2	-1.361420E-2	-7.178811E-4	-7.488447E-3	-1.716068E-2	-1.232457E-2	6.052685E-3	-2.425366E-2	-8.455671E-3	-2.102958E-2	2.862124E-2
2.926605E-2	-3.954732E-4	-1.909513E-2	-1.509599E-1	-3.102422E-2	2.659135E-1	-3.134663E-2	5.570350E-2	1.830419E-2	-6.426318E-1	1.727376E-1	2.493426E-4	5.730277E-3	-1.103493E-2	1.411288E-2	3.151014E-3	-7.488447E-3	-1.780550E-2	-1.264697E-2	-1.490383E-2	-2.199680E-2	-3.297144E-3	-1.812791E-2	-1.071253E-2
7.664724E-3	1.216566E-3	-2.844496E-2	-5.198074E-2	-1.748309E-2	-1.041772E+0	-1.651587E-2	1.217844E-2	-7.166039E-3	2.507621E+0	-3.489312E-2	-2.974736E-3	6.375093E-3	-1.941754E-2	-4.909184E-3	1.572492E-2	-7.166039E-3	-1.973995E-2	-1.264697E-2	8.941584E-4	-1.909513E-2	-2.393125E-2	-3.037941E-2	-2.780014E-2
1.733696E-2	4.763053E-3	-4.101887E-2	-2.360884E-2	-1.941754E-2	9.397466E-1	2.023863E-2	5.441387E-2	-3.037941E-2	-8.712188E-1	8.633226E-2	-1.362697E-3	7.664724E-3	1.217844E-2	1.250084E-2	1.282325E-2	-7.488447E-3	-1.780550E-2	-1.296938E-2	-2.007513E-3	-1.845032E-2	-2.006235E-2	-2.683292E-2	-2.780014E-2
4.118237E-3	5.085461E-3	7.019909E-3	-2.812255E-2	-2.007513E-3	-1.688199E+0	-1.361420E-2	3.281254E-2	-1.264697E-2	-1.413508E+0	-1.541840E-1	2.493426E-4	5.730277E-3	-7.178811E-4	-7.178811E-4	5.085461E-3	-8.455671E-3	-1.748309E-2	-1.264697E-2	-1.296938E-2	-2.264162E-2	-1.685105E-3	-1.941754E-2	1.604733E-2
-5.520481E-2	-7.306528E-5	-7.132521E-2	7.021186E-2	2.281790E-2	1.591979E+0	1.475770E-2	4.055033E-2	4.763053E-3	2.594349E+0	9.921580E-3	-2.007513E-3	7.342317E-3	2.828606E-3	-4.586776E-3	-1.490383E-2	-7.810855E-3	-1.780550E-2	-1.232457E-2	-1.716068E-2	-2.296403E-2	-3.102422E-2	-3.392589E-2	1.508011E-2
1.121121E-2	4.763053E-3	-3.954732E-4	1.862659E-2	-9.422894E-3	-2.273368E+0	-3.618275E-2	3.506940E-2	-3.489312E-2	-2.309171E-1	1.072888E-1	-3.297144E-3	7.987132E-3	2.183790E-3	-3.297144E-3	7.019909E-3	-6.198815E-3	-1.780550E-2	-1.232457E-2	-1.845032E-2	-2.167439E-2	-3.392589E-2	-4.521017E-2	-1.329179E-2
1.798178E-2	7.019909E-3	-1.587105E-2	-9.615061E-2	1.604733E-2	2.022717E+0	-2.328643E-2	2.571957E-2	7.664724E-3	-2.044459E+0	1.459777E-1	-1.040289E-3	7.987132E-3	-4.909184E-3	1.250084E-2	2.249549E-2	-6.843631E-3	-1.877272E-2	-1.232457E-2	-6.198815E-3	-1.683828E-2	-2.328643E-2	-3.328108E-2	-4.585499E-2
1.508011E-2	3.151014E-3	-9.100486E-3	-6.262020E-2	-2.747774E-2	-2.132154E+0	-6.198815E-3	4.699849E-2	-2.780014E-2	1.913421E+0	-6.616668E-2	1.538974E-3	7.342317E-3	1.508011E-2	7.664724E-3	7.987132E-3	-6.198815E-3	-1.780550E-2	-1.264697E-2	-7.178811E-4	-1.877272E-2	-8.778079E-3	-2.586570E-2	-2.296403E-2
8.941584E-4	8.631948E-3	-4.586776E-3	-4.069646E-2	-2.812255E-2	1.612291E+0	-9.422894E-3	1.701455E-2	-2.618810E-2	3.993904E-1	-4.263091E-2	-4.264368E-3	7.987132E-3	1.862659E-2	-1.232457E-2	-1.071253E-2	-6.521223E-3	-1.780550E-2	-1.264697E-2	-2.457607E-2	-2.006235E-2	-2.941218E-2	-3.199145E-2	2.493426E-4
1.088880E-2	5.407869E-3	3.281254E-2	2.765401E-2	9.599172E-3	-1.329360E+0	-1.006771E-2	5.892758E-2	-3.263626E-2	-2.600289E+0	-1.332275E-1	-7.178811E-4	7.019909E-3	2.828606E-3	1.475770E-2	1.314566E-2	-7.488447E-3	-1.780550E-2	-1.329179E-2	-2.006235E-2	-2.360884E-2	-3.553793E-2	-4.714462E-2	1.088880E-2
1.185603E-2	4.763053E-3	-8.455671E-3	-7.100280E-2	-1.200216E-2	7.588755E-1	-4.264368E-3	2.183790E-3	1.250084E-2	1.119973E+0	-7.358206E-2	2.506198E-3	6.697501E-3	6.375093E-3	1.669215E-2	-1.362697E-3	-7.488447E-3	-1.748309E-2	-1.103493E-2	-6.843631E-3	-2.135199E-2	-8.455671E-3	-2.489847E-2	-1.748309E-2
-1.039012E-2	7.019909E-3	2.410753E-2	1.733696E-2	-8.455671E-3	-6.107134E-1	-2.393125E-2	6.086203E-2	-4.101887E-2	1.058715E+0	1.214747E-1	-3.619552E-3	8.954356E-3	9.276764E-3	2.023863E-2	2.828606E-3	-6.198815E-3	-1.941754E-2	-1.264697E-2	-2.974736E-3	-1.619346E-2	-3.037941E-2	-3.908442E-2	-4.456535E-2
1.379047E-2	6.052685E-3	8.794430E-2	2.152826E-2	9.599172E-3	-4.714462E-2	3.732625E-2	1.411288E-2	-3.295867E-2	-2.579978E+0	1.614533E-1	-7.178811E-4	5.730277E-3	-2.102958E-2	-3.297144E-3	1.379047E-2	-7.166039E-3	-1.780550E-2	-1.264697E-2	-1.039012E-2	-1.877272E-2	-1.587105E-2	-2.715533E-2	-2.393125E-2
1.959382E-2	4.763053E-3	-8.744560E-2	-1.432222E-1	-2.457607E-2	7.827206E-2	-4.586776E-3	6.827741E-2	-1.587105E-2	3.342640E-1	-8.454393E-2	2.828606E-3	7.342317E-3	3.795830E-3	1.861382E-3	1.604733E-2	-7.488447E-3	-1.716068E-2	-1.296938E-2	-7.306528E-5	-1.909513E-2	-5.554000E-3	-2.135199E-2	5.717505E-4
1.669215E-2	3.151014E-3	4.441923E-2	8.020651E-2	-1.264697E-2	-8.251145E-1	1.250084E-2	2.023863E-2	-3.134663E-2	1.660330E+0	-2.289826E-1	-2.974736E-3	9.276764E-3	-1.135734E-2	-1.685105E-3	3.151014E-3	-7.166039E-3	-1.812791E-2	-1.264697E-2	-1.877272E-2	-2.360884E-2	-2.135199E-2	-3.005700E-2	2.378512E-2
4.440645E-3	6.052685E-3	-2.974736E-3	8.665467E-2	-2.007513E-3	7.472688E-1	-9.100486E-3	5.731554E-2	-2.618810E-2	-1.796528E+0	6.602056E-2	-1.362697E-3	6.697501E-3	4.763053E-3	1.088880E-2	-2.329921E-3	-7.166039E-3	-1.812791E-2	-1.200216E-2	-2.264162E-2	-1.973995E-2	-1.329179E-2	-2.651051E-2	-1.909513E-2
1.379047E-2	4.763053E-3	2.152826E-2	-2.715533E-2	-7.488447E-3	-1.507006E+0	-1.941754E-2	2.765401E-2	-1.716068E-2	-4.185584E-1	-4.111430E-1	1.861382E-3	7.019909E-3	1.861382E-3	-3.941960E-3	3.281254E-2	-7.166039E-3	-1.973995E-2	-1.232457E-2	-4.586776E-3	-1.716068E-2	-1.103493E-2	-2.393125E-2	-2.747774E-2
9.276764E-3	4.440645E-3	8.631948E-3	-1.106590E-1	-3.843960E-2	1.418846E+0	-2.747774E-2	4.345200E-2	-2.973459E-2	2.245502E+0	1.433985E-1	-2.652328E-3	7.987132E-3	-2.974736E-3	-7.306528E-5	6.375093E-3	-7.488447E-3	-1.748309E-2	-1.296938E-2	5.717505E-4	-1.812791E-2	-2.522088E-2	-2.876737E-2	-2.812255E-2
2.894365E-2	7.019909E-3	-1.587105E-2	-8.422152E-2	-4.843425E-2	-2.138925E+0	-1.232457E-2	4.441923E-2	-6.681150E-2	-1.159451E+0	-4.617739E-2	-1.362697E-3	7.664724E-3	1.604733E-2	-1.361420E-2	2.410753E-2	-6.843631E-3	-1.780550E-2	-1.264697E-2	-1.458142E-2	-2.038476E-2	-1.490383E-2	-3.037941E-2	1.088880E-2
