Projekt Aerodynamik Übung CPM3
P_amb in [Pa]:  100463 T_amb in [K]: 291
Channel 1-3 HCL Druckdaten [V] 
1,849	1,884	1,849
1,847	1,879	1,848
1,850	1,878	1,845
1,852	1,889	1,845
1,850	1,879	1,840
1,849	1,879	1,843
1,847	1,872	1,848
1,843	1,881	1,848
1,844	1,880	1,850
1,852	1,879	1,844
1,852	1,883	1,845
1,852	1,879	1,848
1,847	1,879	1,848
1,846	1,879	1,853
1,852	1,879	1,847
1,847	1,878	1,846
1,839	1,878	1,848
1,844	1,881	1,843
1,849	1,878	1,845
1,848	1,873	1,850
1,847	1,882	1,848
1,850	1,878	1,845
1,847	1,879	1,847
1,849	1,884	1,846
1,843	1,879	1,846
1,849	1,881	1,850
1,846	1,879	1,848
1,849	1,876	1,843
1,844	1,879	1,847
1,844	1,881	1,848
1,847	1,879	1,845
1,849	1,876	1,845
1,844	1,876	1,846
1,852	1,880	1,846
1,844	1,879	1,848
1,844	1,880	1,849
1,850	1,873	1,849
1,847	1,879	1,848
1,845	1,879	1,850
1,847	1,879	1,847
1,852	1,879	1,848
1,847	1,878	1,848
1,847	1,879	1,840
1,846	1,876	1,844
1,844	1,879	1,848
1,847	1,878	1,845
1,849	1,878	1,848
1,846	1,879	1,849
1,847	1,873	1,843
1,852	1,879	1,845
1,845	1,876	1,845
1,847	1,879	1,848
1,844	1,874	1,849
1,847	1,879	1,843
1,842	1,878	1,848
1,847	1,879	1,848
1,847	1,879	1,845
1,844	1,879	1,848
1,849	1,879	1,847
1,847	1,882	1,848
1,848	1,878	1,848
1,844	1,881	1,844
1,847	1,880	1,848
1,844	1,877	1,848
1,844	1,879	1,850
1,848	1,874	1,848
1,849	1,879	1,847
1,852	1,879	1,848
1,850	1,878	1,847
1,846	1,884	1,844
1,852	1,876	1,843
1,844	1,879	1,847
1,845	1,878	1,845
1,847	1,878	1,843
1,849	1,879	1,846
1,844	1,878	1,849
1,849	1,876	1,845
1,846	1,879	1,846
1,849	1,879	1,846
1,855	1,879	1,851
1,850	1,879	1,846
1,844	1,879	1,845
1,850	1,878	1,846
1,849	1,879	1,848
1,851	1,876	1,845
1,852	1,879	1,845
1,849	1,874	1,848
1,849	1,873	1,846
1,849	1,882	1,845
1,847	1,883	1,845
1,849	1,876	1,848
1,850	1,879	1,848
1,849	1,879	1,845
1,852	1,878	1,846
1,839	1,879	1,847
1,849	1,879	1,843
1,838	1,876	1,845
1,842	1,878	1,848
1,844	1,881	1,845
1,847	1,879	1,849
1,854	1,879	1,846
1,846	1,882	1,848
1,847	1,878	1,846
1,847	1,876	1,848
1,842	1,876	1,848
1,852	1,876	1,845
1,845	1,872	1,843
1,846	1,876	1,846
1,851	1,876	1,840
1,849	1,879	1,846
1,847	1,879	1,848
1,846	1,878	1,845
1,844	1,879	1,848
1,848	1,880	1,844
1,847	1,879	1,846
1,849	1,880	1,847
1,847	1,880	1,846
1,844	1,873	1,848
1,844	1,879	1,849
1,847	1,879	1,843
1,847	1,876	1,848
1,842	1,879	1,848
1,849	1,879	1,848
1,852	1,879	1,847
1,850	1,878	1,848
1,853	1,879	1,848
1,847	1,880	1,847
1,852	1,873	1,847
1,844	1,876	1,846
1,847	1,878	1,848
1,848	1,876	1,843
1,847	1,879	1,843
1,847	1,879	1,848
1,844	1,879	1,848
1,850	1,877	1,845
1,850	1,879	1,845
1,849	1,879	1,845
1,845	1,876	1,846
1,847	1,879	1,843
1,847	1,878	1,846
1,844	1,876	1,848
1,849	1,872	1,839
1,846	1,875	1,842
1,844	1,880	1,845
1,847	1,878	1,848
1,849	1,877	1,848
1,847	1,874	1,851
1,845	1,879	1,848
1,844	1,879	1,846
1,849	1,883	1,850
1,850	1,876	1,850
1,849	1,879	1,851
1,847	1,882	1,846
1,847	1,879	1,848
1,849	1,878	1,848
1,847	1,879	1,843
1,844	1,878	1,849
1,847	1,876	1,845
1,852	1,879	1,850
1,851	1,884	1,843
1,847	1,880	1,850
1,845	1,879	1,843
1,847	1,879	1,845
1,844	1,876	1,847
1,847	1,876	1,848
1,847	1,879	1,847
1,844	1,879	1,845
1,849	1,871	1,843
1,850	1,875	1,846
1,849	1,877	1,848
1,844	1,881	1,847
1,846	1,879	1,848
1,847	1,882	1,846
1,844	1,882	1,848
1,852	1,879	1,847
1,852	1,879	1,846
1,846	1,876	1,848
1,847	1,874	1,843
1,853	1,879	1,848
1,847	1,879	1,843
1,844	1,878	1,848
1,839	1,878	1,845
1,849	1,874	1,849
1,848	1,876	1,848
1,852	1,879	1,849
1,845	1,878	1,845
1,850	1,879	1,843
1,847	1,877	1,846
1,841	1,879	1,845
